Marque,Modèle,Année,Kilométrage,Carburant,Boîte_vitesse,Puissance_fiscale,Nombre_portes,Etat_generale,Prix
Bmw,Serie 1 5P,2016.0,47,Essence,Automatique,9,4,Occasion,62000
Bmw,Serie 1 5P,2012.0,137,Essence,Automatique,7,4,Occasion,48000
Bmw,Serie 1 5P,2018.0,114,Essence,Manuelle,7,4,Occasion,72000
Bmw,Serie 1 5P,2020.0,124,Essence,Automatique,8,5,Occasion,106000
Bmw,Serie 1 5P,2018.0,112,Essence,Manuelle,7,4,Occasion,85000
Bmw,Serie 1 5P,2010.0,180,Essence,Manuelle,7,5,Occasion,38000
Bmw,Serie 1 5P,2020.0,124,Essence,Automatique,8,5,Occasion,111000
Bmw,Serie 1 5P,2021.0,92,Essence,Automatique,6,5,Occasion,93000
Bmw,Serie 1 5P,2025.0,793,Essence,Automatique,6,5,Occasion,138000
Bmw,Serie 1 5P,2012.0,200,Diesel,Manuelle,6,5,Occasion,46000
Bmw,Serie 1 5P,2020.0,100,Essence,Automatique,8,5,Occasion,99500
Bmw,Serie 1 5P,2010.0,200,Essence,Manuelle,7,3,Occasion,36500
Bmw,Serie 1 5P,2020.0,100,Essence,Automatique,8,5,Occasion,84000
Bmw,Serie 1 5P,2012.0,200,Essence,Automatique,7,5,Occasion,50000
Bmw,Serie 1 5P,2021.0,43,Essence,Automatique,8,5,Occasion,108000
Bmw,Serie 1 5P,2010.0,200,Essence,Manuelle,8,5,Occasion,32000
Bmw,Serie 1 5P,2013.0,260,Essence,Manuelle,7,5,Occasion,44000
Bmw,Serie 1 5P,2024.0,13,Essence,Automatique,8,5,Occasion,145000
Bmw,Serie 1 5P,2017.0,150,Essence,Automatique,7,5,Occasion,94000
Bmw,Serie 1 5P,2020.0,119,Essence,Manuelle,7,5,Occasion,75000
Bmw,Serie 1 5P,2016.0,47,Essence,Manuelle,7,4,Occasion,56000
Bmw,Serie 1 5P,2013.0,180,Essence,Automatique,7,5,Occasion,54500
Bmw,Serie 1 5P,2020.0,110,Essence,Automatique,8,5,Occasion,78000
Bmw,Serie 1 5P,2012.0,208,Essence,Automatique,7,5,Occasion,49000
Bmw,Serie 1 5P,2012.0,200,Essence,Manuelle,7,4,Occasion,47000
Bmw,Serie 2 Gran Coupe,2021.0,77,Essence,Automatique,8,4,Occasion,135000
Bmw,Serie 2 Gran Coupe,2022.0,34,Essence,Automatique,8,4,Occasion,136000
Bmw,Serie 2 Gran Coupe,2021.0,77,Essence,Automatique,8,4,Occasion,105000
Bmw,Serie 2 Gran Coupe,2021.0,59,Essence,Automatique,7,5,Occasion,132000
Bmw,Serie 2 Gran Coupe,2022.0,69,Essence,Automatique,8,4,Occasion,128000
Bmw,Serie 3 Cabriolet,2010.0,126000,Essence,Manuelle,19,2,Occasion,85000
Bmw,Serie 3 Coupe,2008.0,180,Essence,Manuelle,7,2,Occasion,39900
Bmw,Serie 3 Coupe,2009.0,232,Essence,Manuelle,7,2,Occasion,57000
Bmw,Serie 3 Coupe,2009.0,232,Essence,Automatique,9,3,Occasion,35000
Bmw,Serie 3 Gt,2015.0,200000,Essence,Automatique,7,5,Occasion,90000
Bmw,Serie 3,2018.0,135,Essence,Automatique,7,4,Occasion,78000
Bmw,Serie 3,2024.0,50,Hybride,Automatique,9,4,Occasion,179000
Bmw,Serie 3,2013.0,174,Essence,Automatique,7,4,Occasion,59000
Bmw,Serie 3,2014.0,148,Essence,Automatique,7,5,Occasion,57000
Bmw,Serie 3,2012.0,161,Diesel,Manuelle,6,5,Occasion,52500
Bmw,Serie 3,2013.0,220,Essence,Automatique,10,4,Occasion,64000
Bmw,Serie 3,2015.0,195,Essence,Automatique,7,4,Occasion,59000
Bmw,Serie 3,2016.0,152,Essence,Automatique,7,4,Occasion,67000
Bmw,Serie 3,2014.0,148,Essence,Automatique,7,4,Occasion,67000
Bmw,Serie 3,2016.0,152,Essence,Automatique,7,5,Occasion,75000
Bmw,Serie 3,2015.0,216,Essence,Automatique,7,4,Occasion,69000
Bmw,Serie 3,2018.0,177,Essence,Automatique,7,4,Occasion,78000
Bmw,Serie 3,2015.0,77,Essence,Automatique,7,4,Occasion,63000
Bmw,Serie 3,2015.0,195,Essence,Automatique,10,5,Occasion,74000
Bmw,Serie 3,2013.0,127,Essence,Automatique,15,5,Occasion,68000
Bmw,Serie 3,2008.0,200,Essence,Manuelle,7,5,Occasion,30500
Bmw,Serie 3,2015.0,195,Essence,Automatique,7,4,Occasion,54000
Bmw,Serie 3,2019.0,100,Essence,Automatique,10,4,Occasion,118000
Bmw,Serie 3,2020.0,130,Essence,Automatique,9,4,Occasion,134000
Bmw,Serie 3,2015.0,214,Essence,Automatique,7,5,Occasion,58000
Bmw,Serie 3,2020.0,130,Essence,Automatique,7,5,Occasion,85000
Bmw,Serie 3,2010.0,128,Essence,Manuelle,7,4,Occasion,42500
Bmw,Serie 3,2009.0,167,Essence,Manuelle,7,5,Occasion,42500
Bmw,Serie 3,2012.0,295,Essence,Automatique,7,5,Occasion,45000
Bmw,Serie 3,2012.0,295,Essence,Automatique,7,4,Occasion,53000
Bmw,Serie 3,2012.0,161,Essence,Automatique,7,4,Occasion,60000
Bmw,Serie 3,2008.0,159,Diesel,Manuelle,9,4,Occasion,33000
Bmw,Serie 3,2015.0,180,Essence,Automatique,7,4,Occasion,65000
Bmw,Serie 3,2015.0,216,Essence,Automatique,7,4,Occasion,62000
Bmw,Serie 3,2008.0,159,Essence,Manuelle,7,5,Occasion,39000
Bmw,Serie 3,2014.0,265,Essence,Manuelle,7,4,Occasion,52500
Bmw,Serie 3,2013.0,220,Essence,Automatique,7,4,Occasion,63000
Bmw,Serie 3,2023.0,49,Hybride,Automatique,10,4,Occasion,280000
Bmw,Serie 3,2014.0,265,Essence,Automatique,7,4,Occasion,59000
Bmw,Serie 3,2008.0,200,Essence,Automatique,9,4,Occasion,40500
Bmw,Serie 3,2017.0,195,Essence,Automatique,7,4,Occasion,69000
Bmw,Serie 3,2017.0,169,Essence,Automatique,7,4,Occasion,79000
Bmw,Serie 3,2016.0,101,Essence,Automatique,7,4,Occasion,85000
Bmw,Serie 4 Coupe,2014.0,140,Essence,Automatique,10,3,Occasion,99000
Bmw,Serie 4 Coupe,2014.0,140,Essence,Automatique,10,2,Occasion,73000
Bmw,Serie 4 Coupe,2015.0,179,Essence,Automatique,10,2,Occasion,88000
Bmw,Serie 4 Coupe,2015.0,179,Essence,Automatique,7,4,Occasion,99000
Bmw,Serie 4 Gran Coupe,2019.0,90,Essence,Automatique,7,4,Occasion,125000
Bmw,Serie 4 Gran Coupe,2017.0,132,Essence,Automatique,7,5,Occasion,95000
Bmw,Serie 4 Gran Coupe,2017.0,108,Essence,Automatique,7,5,Occasion,74000
Bmw,Serie 4 Gran Coupe,2017.0,108,Essence,Automatique,10,4,Occasion,127000
Bmw,Serie 4 Gran Coupe,2019.0,90,Essence,Automatique,7,5,Occasion,105000
Bmw,Serie 4 Gran Coupe,2020.0,50,Essence,Automatique,10,5,Occasion,225000
Bmw,Serie 4 Gran Coupe,2015.0,130,Essence,Automatique,10,5,Occasion,83000
Bmw,Serie 4 Gran Coupe,2015.0,175,Essence,Automatique,10,5,Occasion,95000
Bmw,Serie 4 Gran Coupe,2020.0,50,Essence,Automatique,7,5,Occasion,107000
Bmw,Serie 4 Gran Coupe,2020.0,132,Essence,Automatique,7,5,Occasion,128000
Bmw,Serie 4 Gran Coupe,2019.0,99,Essence,Automatique,7,4,Occasion,117000
Bmw,Serie 5,2012.0,230,Essence,Automatique,10,4,Occasion,79500
Bmw,Serie 5,2021.0,18,Hybride,Automatique,10,4,Occasion,209000
Bmw,Serie 5,2007.0,216,Diesel,Manuelle,10,5,Occasion,57500
Bmw,Serie 5,2020.0,140,Hybride,Automatique,10,5,Occasion,189000
Bmw,Serie 5,2013.0,179,Diesel,Automatique,12,4,Occasion,76000
Bmw,Serie 5,2019.0,67,Essence,Automatique,10,4,Occasion,134500
Bmw,Serie 5,2019.0,47,Hybride,Automatique,10,4,Occasion,160000
Bmw,Serie 5,2021.0,84,Essence,Automatique,10,4,Occasion,195000
Bmw,Serie 5,2021.0,53,Hybride,Automatique,10,5,Occasion,145000
Bmw,Serie 5,2012.0,202,Essence,Automatique,10,4,Occasion,59500
Bmw,Serie 5,2022.0,80,Essence,Automatique,10,4,Occasion,197000
Bmw,Serie 5,2011.0,320,Essence,Automatique,10,4,Occasion,70000
Bmw,Serie 5,2021.0,18,Hybride,Automatique,10,4,Occasion,205000
Bmw,Serie 5,2008.0,224,Essence,Automatique,13,5,Occasion,42000
Bmw,Serie 5,2008.0,224,Diesel,Automatique,10,4,Occasion,42500
Bmw,Serie 5,2019.0,129,Hybride,Automatique,8,4,Occasion,150000
Bmw,Serie 5,2012.0,202,Diesel,Automatique,10,4,Occasion,61000
Bmw,Serie 5,2019.0,14,Essence,Automatique,10,4,Occasion,160000
Bmw,Serie 5,2019.0,14,Essence,Automatique,10,4,Occasion,195000
Bmw,Serie 6,2005.0,50,Essence,Automatique,24,3,Occasion,120000
Bmw,Serie 7,2010.0,200,Diesel,Automatique,20,4,Occasion,155500
Bmw,Serie 7,2008.0,220,Essence,Automatique,32,5,Occasion,85000
Bmw,Serie 7,2008.0,220,Diesel,Automatique,15,5,Occasion,45000
Bmw,Serie 7,2012.0,200,Essence,Automatique,15,4,Occasion,310000
Bmw,Serie 7,2006.0,368,Essence,Automatique,36,4,Occasion,25000
Bmw,Serie 7,2006.0,368,Essence,Automatique,22,5,Occasion,55000
Bmw,X1,2017.0,260,Essence,Automatique,7,5,Occasion,81000
Bmw,X1,2025.0,3,Hybride,Automatique,8,4,Occasion,238000
Bmw,X1,2020.0,64,Essence,Automatique,8,5,Occasion,119000
Bmw,X1,2019.0,79,Essence,Automatique,7,5,Occasion,97000
Bmw,X1,2024.0,22,Essence,Automatique,9,5,Occasion,188200
Bmw,X1,2017.0,121,Diesel,Manuelle,6,5,Occasion,60000
Bmw,X1,2020.0,64,Essence,Automatique,7,5,Occasion,105000
Bmw,X1,2017.0,133,Essence,Automatique,9,5,Occasion,57000
Bmw,X1,2017.0,121,Essence,Automatique,7,4,Occasion,72000
Bmw,X2,2019.0,79,Essence,Automatique,7,5,Occasion,132000
Bmw,X2,2020.0,62,Diesel,Automatique,8,5,Occasion,145000
Bmw,X2,2020.0,70,Essence,Automatique,7,4,Occasion,120000
Bmw,X2,2020.0,70,Essence,Automatique,11,5,Occasion,145000
Bmw,X3,2013.0,200,Diesel,Automatique,13,4,Occasion,52000
Bmw,X3,2019.0,56,Essence,Automatique,15,4,Occasion,92000
Bmw,X3,2020.0,80,Essence,Automatique,15,5,Occasion,250000
Bmw,X3,2014.0,185,Diesel,Manuelle,10,5,Occasion,75000
Bmw,X3,2014.0,219,Diesel,Automatique,10,5,Occasion,87000
Bmw,X3,2019.0,56,Essence,Automatique,15,5,Occasion,210000
Bmw,X3,2021.0,18,Diesel,Automatique,8,5,Occasion,170000
Bmw,X3,2020.0,80,Diesel,Automatique,7,4,Occasion,185000
Bmw,X3,2019.0,72,Diesel,Automatique,11,5,Occasion,185000
Bmw,X3,2014.0,185,Essence,Automatique,9,5,Occasion,75000
Bmw,X4,2019.0,51000,Essence,Automatique,11,5,Occasion,280000
Bmw,X5,2007.0,270,Diesel,Automatique,16,4,Occasion,52000
Bmw,X5,2010.0,211,Diesel,Automatique,19,5,Occasion,86000
Bmw,X5,2017.0,105,Diesel,Automatique,14,4,Occasion,265000
Bmw,X5,2016.0,70,Diesel,Automatique,13,4,Occasion,123000
Bmw,X5,2007.0,295,Diesel,Automatique,15,5,Occasion,55000
Bmw,X5,2016.0,226,Essence,Automatique,48,5,Occasion,297000
Bmw,X5,2015.0,152,Diesel,Automatique,13,5,Occasion,135000
Bmw,X5,2016.0,70,Diesel,Automatique,13,5,Occasion,185000
Bmw,X5,2010.0,159,Diesel,Automatique,16,5,Occasion,70000
Bmw,X5,2015.0,185,Diesel,Automatique,13,5,Occasion,123000
Bmw,X5,2007.0,295,Diesel,Automatique,15,5,Occasion,66000
Bmw,X5,2007.0,362,Essence,Automatique,16,5,Occasion,29000
Bmw,X5,2010.0,159,Essence,Automatique,19,5,Occasion,75000
Bmw,X6,2011.0,193,Diesel,Automatique,15,4,Occasion,109000
Bmw,X6,2016.0,90,Diesel,Automatique,16,5,Occasion,265000
Bmw,X6,2019.0,90,Essence,Automatique,34,5,Occasion,198000
Bmw,X6,2011.0,195,Diesel,Automatique,15,5,Occasion,99000
Bmw,X6,2008.0,291,Essence,Automatique,22,5,Occasion,89000
Bmw,X6,2008.0,175,Diesel,Automatique,11,4,Occasion,80000
Bmw,Z4,2010.0,147000,Essence,Automatique,13,2,Occasion,98000
Byd,Sealion 7,2025.0,1,Electrique,Automatique,5,5,Occasion,220000
Byd,Sealion 7,2025.0,1,Electrique,Automatique,5,5,Occasion,189000
Byd,Song Plus,2025.0,10,Hybride,Automatique,7,5,Occasion,123500
Byd,Song,2022.0,45000,Essence,Automatique,9,4,Occasion,84000
Byd,Tang,2023.0,44000,Essence,Automatique,11,5,Occasion,97000
Cadillac,Ats,2014.0,58000,Essence,Automatique,18,5,Occasion,79000
Cadillac,Escalade,2013.0,134000,Essence,Automatique,34,5,Occasion,180000
Chery,Arrizo 3,2019.0,130000,Essence,Manuelle,6,5,Occasion,32000
Chery,Arrizo 5,2024.0,22,Essence,Manuelle,7,4,Occasion,51500
Chery,Arrizo 5,2024.0,22,Essence,Automatique,7,4,Occasion,79500
Chery,Arrizo 5,2024.0,10,Essence,Manuelle,7,5,Occasion,50500
Chery,Tiggo 2,2020.0,88,Essence,Manuelle,6,4,Occasion,39000
Chery,Tiggo 2,2020.0,120,Essence,Manuelle,6,5,Occasion,42000
Chery,Tiggo 2,2020.0,88,Essence,Manuelle,6,5,Occasion,41000
Chery,Tiggo 2,2020.0,120,Essence,Manuelle,6,5,Occasion,37000
Chery,Tiggo 3X,2022.0,26,Essence,Automatique,6,5,Occasion,52000
Chery,Tiggo 3X,2023.0,5,Essence,Manuelle,6,5,Occasion,61000
Chery,Tiggo 3X,2022.0,68,Essence,Automatique,6,5,Occasion,55000
Chery,Tiggo 3X,2021.0,33,Essence,Automatique,6,5,Occasion,54000
Chery,Tiggo 3X,2023.0,5,Essence,Automatique,6,5,Occasion,73000
Chery,Tiggo 3X,2023.0,5,Essence,Automatique,6,5,Occasion,64600
Chery,Tiggo 3X,2022.0,43,Essence,Automatique,6,4,Occasion,60000
Chery,Tiggo 3X,2022.0,12,Essence,Automatique,6,4,Occasion,46000
Chery,Tiggo 3X,2021.0,29,Essence,Automatique,6,5,Occasion,56000
Chery,Tiggo 3X,2022.0,43,Essence,Automatique,6,5,Occasion,57000
Chery,Tiggo 4,2019.0,120000,Essence,Manuelle,9,5,Occasion,58000
Chery,Tiggo 7,2022.0,85,Essence,Automatique,9,5,Occasion,79500
Chery,Tiggo 7,2023.0,35,Essence,Automatique,9,5,Occasion,113800
Chery,Tiggo 7,2021.0,116,Essence,Automatique,9,5,Occasion,56000
Chery,Tiggo 7,2021.0,116,Essence,Automatique,9,5,Occasion,74000
Chery,Tiggo 7,2021.0,116,Essence,Automatique,9,5,Occasion,77000
Chery,Tiggo 7,2022.0,78,Essence,Automatique,9,5,Occasion,75000
Chery,Tiggo 7,2022.0,45,Essence,Automatique,9,5,Occasion,85972
Chery,Tiggo 7,2023.0,66,Essence,Automatique,9,5,Occasion,82000
Chery,Tiggo 7,2022.0,85,Essence,Automatique,9,5,Occasion,65000
Chery,Tiggo 8 Pro,2023.0,22,Essence,Automatique,11,5,Occasion,87000
Chery,Tiggo 8 Pro,2023.0,11,Essence,Automatique,11,5,Occasion,82000
Chery,Tiggo 8 Pro,2023.0,22,Essence,Automatique,11,5,Occasion,91000
Chery,Tiggo 8 Pro,2023.0,11,Essence,Automatique,11,5,Occasion,95000
Chevrolet,Aveo,2008.0,159,Essence,Manuelle,5,5,Occasion,22000
Chevrolet,Camaro,2014.0,30,Essence,Manuelle,21,2,Occasion,130000
Chevrolet,Camaro,2015.0,135,Essence,Automatique,21,2,Occasion,154600
